Despacho,Fecha inicio,Fecha fin,Disp.,Mang.,Term.,Producto,Cantidad,Importe,Precio,Litros prede,Importe prede,Precio prede,Modo Disp.,Num. comprobante,Cliente,Vehículo,Conductor,Km.,C.alt. cliente,C.alt.vehículo,C.alt.conductor,Desp. CVI,Código Remoto,Descripción Código Remoto
94551,13/09/2023 06:39 AM,13/09/2023 06:41 AM,2,1,,GASOLINA MIN.87 OCT,22.62,500.00,22.100,0.00,0.00,22.100,Tradicional,2745807         ,PUBLICO EN GENERAL,,,,,,,652778,,
94557,13/09/2023 06:48 AM,13/09/2023 06:49 AM,1,1,,GASOLINA MIN.87 OCT,22.62,500.00,22.100,0.00,0.00,22.100,Tradicional,2745804         ,,,,,,,,652784,,
94559,13/09/2023 06:51 AM,13/09/2023 06:52 AM,1,1,,GASOLINA MIN.87 OCT,4.53,100.00,22.100,0.00,0.00,22.100,Tradicional,2745812         ,PUBLICO EN GENERAL,,,,,,,652786,,
94562,13/09/2023 06:51 AM,13/09/2023 06:53 AM,2,1,,GASOLINA MIN.87 OCT,45.69,"1,009.77",22.100,0.00,0.00,22.100,Tradicional,2745816         ,PUBLICO EN GENERAL,,,,,,,652789,,
94567,13/09/2023 06:54 AM,13/09/2023 06:56 AM,1,1,,GASOLINA MIN.87 OCT,22.64,500.26,22.100,0.00,0.00,22.100,Tradicional,2745813         ,,,,,,,,652794,,
94571,13/09/2023 07:00 AM,13/09/2023 07:02 AM,2,1,,GASOLINA MIN.87 OCT,46.00,"1,016.60",22.100,0.00,0.00,22.100,Tradicional,2745823         ,PUBLICO EN GENERAL,,,,,,,652798,,
94577,13/09/2023 07:13 AM,13/09/2023 07:15 AM,2,1,,GASOLINA MIN.87 OCT,4.53,100.00,22.100,0.00,0.00,22.100,Tradicional,2745834         ,PUBLICO EN GENERAL,,,,,,,652804,,
94581,13/09/2023 07:22 AM,13/09/2023 07:22 AM,1,1,,GASOLINA MIN.87 OCT,9.05,200.00,22.100,0.00,0.00,22.100,Tradicional,2745832         ,PUBLICO EN GENERAL,,,,,,,652808,,
94585,13/09/2023 07:26 AM,13/09/2023 07:26 AM,1,2,,GASOLINA MIN.91 OCT,4.13,100.00,24.190,0.00,0.00,24.190,Tradicional,2745841         ,PUBLICO EN GENERAL,,,,,,,652812,,
94587,13/09/2023 07:28 AM,13/09/2023 07:29 AM,2,1,,GASOLINA MIN.87 OCT,10.00,221.00,22.100,0.00,0.00,22.100,Tradicional,2745836         ,PUBLICO EN GENERAL,,,,,,,652814,,
94590,13/09/2023 07:33 AM,13/09/2023 07:33 AM,2,1,,GASOLINA MIN.87 OCT,9.05,200.00,22.100,0.00,0.00,22.100,Tradicional,2745839         ,,,,,,,,652817,,
