Fecha / hora,Cliente,Nº  venta,Importe,Forma de pago,Revisada,Crédito,Estatus venta,V. no facturable
01/09/2023 06:34 AM,PUBLICO EN GENERAL,355195,200.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 06:38 AM,PUBLICO EN GENERAL,355198,200.00,Efectivo,0,0,Venta generada,
01/09/2023 06:44 AM,PUBLICO EN GENERAL,355201,50.00,Efectivo,0,0,Venta generada,
01/09/2023 06:47 AM,PUBLICO EN GENERAL,355196,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 06:48 AM,PUBLICO EN GENERAL,355197,200.00,Efectivo,0,0,Venta generada,
01/09/2023 06:57 AM,PUBLICO EN GENERAL,355200,221.00,Efectivo,0,0,Venta generada,
01/09/2023 06:59 AM,PUBLICO EN GENERAL,355199,100.00,Efectivo,0,0,Venta generada,
01/09/2023 07:03 AM,PUBLICO EN GENERAL,355204,221.00,Efectivo,0,0,Venta generada,
01/09/2023 07:07 AM,PUBLICO EN GENERAL,355202,300.00,Efectivo,0,0,Venta generada,
01/09/2023 07:11 AM,PUBLICO EN GENERAL,355209,100.00,Efectivo,0,0,Venta generada,
01/09/2023 07:21 AM,PUBLICO EN GENERAL,355203,300.00,Efectivo,0,0,Venta generada,
01/09/2023 07:27 AM,PUBLICO EN GENERAL,355213,100.00,Efectivo,0,0,Venta generada,
01/09/2023 07:28 AM,PUBLICO EN GENERAL,355207,442.00,Efectivo,0,0,Venta generada,
01/09/2023 07:33 AM,PUBLICO EN GENERAL,355205,200.00,Efectivo,0,0,Venta generada,
01/09/2023 07:38 AM,PUBLICO EN GENERAL,355206,400.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 07:47 AM,PUBLICO EN GENERAL,355208,100.00,Efectivo,0,0,Venta generada,
01/09/2023 07:47 AM,PUBLICO EN GENERAL,355214,110.50,Efectivo,0,0,Venta generada,
01/09/2023 07:48 AM,PUBLICO EN GENERAL,355210,200.00,Efectivo,0,0,Venta generada,
01/09/2023 07:48 AM,PUBLICO EN GENERAL,355211,331.50,Efectivo,0,0,Venta generada,
01/09/2023 07:52 AM,PUBLICO EN GENERAL,355216,200.00,Efectivo,0,0,Venta generada,
01/09/2023 07:52 AM,PUBLICO EN GENERAL,355212,221.00,Efectivo,0,0,Venta generada,
01/09/2023 07:56 AM,PUBLICO EN GENERAL,355219,100.00,Efectivo,0,0,Venta generada,
01/09/2023 07:58 AM,PUBLICO EN GENERAL,355218,300.00,Efectivo,0,0,Venta generada,
01/09/2023 07:59 AM,PUBLICO EN GENERAL,355215,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 08:01 AM,PUBLICO EN GENERAL,355222,200.00,Efectivo,0,0,Venta generada,
01/09/2023 08:02 AM,PUBLICO EN GENERAL,355217,300.00,Tarjeta de credito,0,0,Vta. enviada a web,
01/09/2023 08:04 AM,PUBLICO EN GENERAL,355220,50.00,Efectivo,0,0,Venta generada,
01/09/2023 08:05 AM,PUBLICO EN GENERAL,355223,331.50,Efectivo,0,0,Venta generada,
01/09/2023 08:08 AM,PUBLICO EN GENERAL,355224,110.50,Efectivo,0,0,Venta generada,
01/09/2023 08:08 AM,PUBLICO EN GENERAL,355221,500.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 08:12 AM,PUBLICO EN GENERAL,355227,100.00,Efectivo,0,0,Venta generada,
01/09/2023 08:13 AM,PUBLICO EN GENERAL,355229,200.00,Efectivo,0,0,Venta generada,
01/09/2023 08:13 AM,PUBLICO EN GENERAL,355226,150.00,Efectivo,0,0,Venta generada,
01/09/2023 08:14 AM,PUBLICO EN GENERAL,355225,663.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 08:15 AM,PUBLICO EN GENERAL,355240,300.00,Efectivo,0,0,Venta generada,
01/09/2023 08:16 AM,PUBLICO EN GENERAL,355231,150.00,Efectivo,0,0,Venta generada,
01/09/2023 08:21 AM,PUBLICO EN GENERAL,355228,331.50,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 08:22 AM,PUBLICO EN GENERAL,355230,110.50,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 08:24 AM,PUBLICO EN GENERAL,355233,220.00,Efectivo,0,0,Venta generada,
01/09/2023 08:24 AM,PUBLICO EN GENERAL,355232,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 08:34 AM,PUBLICO EN GENERAL,355236,200.00,Efectivo,0,0,Venta generada,
01/09/2023 08:38 AM,PUBLICO EN GENERAL,355239,100.00,Efectivo,0,0,Venta generada,
01/09/2023 08:41 AM,PUBLICO EN GENERAL,355234,100.00,Efectivo,0,0,Venta generada,
01/09/2023 08:45 AM,PUBLICO EN GENERAL,355237,100.00,Efectivo,0,0,Venta generada,
01/09/2023 08:46 AM,PUBLICO EN GENERAL,355235,400.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 08:48 AM,PUBLICO EN GENERAL,355242,100.00,Efectivo,0,0,Venta generada,
01/09/2023 08:49 AM,PUBLICO EN GENERAL,355238,600.00,Efectivo,0,0,Venta generada,
01/09/2023 08:52 AM,PUBLICO EN GENERAL,355246,150.00,Efectivo,0,0,Venta generada,
01/09/2023 08:53 AM,PUBLICO EN GENERAL,355241,200.00,Efectivo,0,0,Venta generada,
01/09/2023 08:57 AM,PUBLICO EN GENERAL,355243,300.00,Efectivo,0,0,Venta generada,
01/09/2023 08:57 AM,PUBLICO EN GENERAL,355245,22.10,Efectivo,0,0,Venta generada,
01/09/2023 08:59 AM,PUBLICO EN GENERAL,355250,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:00 AM,PUBLICO EN GENERAL,355248,90.00,Efectivo,0,0,Venta generada,
01/09/2023 09:00 AM,PUBLICO EN GENERAL,355244,50.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 09:01 AM,PUBLICO EN GENERAL,355247,100.00,Efectivo,0,0,Venta generada,
01/09/2023 09:06 AM,PUBLICO EN GENERAL,355252,110.50,Efectivo,0,0,Venta generada,
01/09/2023 09:06 AM,PUBLICO EN GENERAL,355249,994.50,Tarjeta de credito,0,0,Vta. enviada a web,
01/09/2023 09:07 AM,PUBLICO EN GENERAL,355251,241.90,Tarjeta de credito,0,0,Vta. enviada a web,
01/09/2023 09:07 AM,PUBLICO EN GENERAL,355257,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:07 AM,PUBLICO EN GENERAL,355255,300.00,Efectivo,0,0,Venta generada,
01/09/2023 09:12 AM,PUBLICO EN GENERAL,355253,110.50,Efectivo,0,0,Venta generada,
01/09/2023 09:14 AM,PUBLICO EN GENERAL,355254,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:15 AM,PUBLICO EN GENERAL,355256,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:18 AM,PUBLICO EN GENERAL,355258,500.00,Efectivo,0,0,Venta generada,
01/09/2023 09:18 AM,PUBLICO EN GENERAL,355260,120.00,Efectivo,0,0,Venta generada,
01/09/2023 09:20 AM,PUBLICO EN GENERAL,355259,250.00,Efectivo,0,0,Venta generada,
01/09/2023 09:22 AM,PUBLICO EN GENERAL,355261,100.00,Efectivo,0,0,Venta generada,
